variable,value
3,"Før var det okay, men nu er det for galt."
4,Maden var god.
4,"Jeg tror ikke, hun har forstået det."
4,Jeg ville have stået op hele tiden.
4,Han kunne godt have givet en hånd med.
4,Det tror jeg ikke på.
4,Jeg havde det super sjovt.
4,Der var beskidt.
4,Han kan hoppe højt.
4,Jeg er blank.
4,Før var du sjov.
4,Han er lidt dum.
5,Betjeningen var elendig.
5,Hun klarede det nu meget godt.
5,Jeg blev træt halvvejs og satte mig ned.
5,Han havde ikke lyst.
5,Jeg har ikke en bedre forklaring selv.
5,Så blev jeg syg.
5,Vi havde det godt.
5,Han kan ikke løbe særlig hurtigt.
5,Du har nogle gode idéer.
5,Nu er du bare dum at høre på!!
5,Han er også lidt sød.
6,Du er måske udmattet af hverdagen?
6,"Er der noget personligt, som du ikke har haft tid til?"
6,Er der overhovedet nogen der gider?
6,Er det dig skat?
6,Er det ikke mere praktisk at flyve?
6,Er det ikke sjovt?
6,Er det sjovt?
6,Er du også i gang?
6,Gør du mig ikke lige en tjeneste?
6,Har du brug for hjælp?
6,Har du det godt?
6,Har du ikke brug for hjælp?
6,Har du ikke kun koncentreret dig om udviklingen?
6,Har du ikke lyst til en gang frokost?
6,Har du tid til en kop kaffe?
6,Har du viljestyrke og charme tilovers?
6,"Hej, hvad kan jeg gøre for dig?"
6,Holder han ikke snart op?
6,Hvad er dit mål?
6,Hvad koster det?
6,Hvad mener du?
6,"Hvad siger du til, at snuppe en øl med mig?"
6,Hvad skal dette ikke til for?
6,Hvad skal du i dag?
6,Hvad skal vi høre nu?
6,Hvad skal vi lige gøre ved det?
6,Hvad tror du selv?
6,Hvad vil du helst?
6,Hvem er stadig tilbage?
6,Hvem har flyttet den?
6,Hvem kunne tænke sig at hjælpe til?
6,"Hvem tror du, du er?"
6,"Hvis du ikke kan forstå mine beskeder, kan du så forstå denne?"
6,Hvor blev du af?
6,Hvor er min præmie?
6,Hvordan har du det?
6,Hvordan skulle det dog virke?
6,Hvornår holder han op?
6,Kan du gøre plads til mere leg og kreativitet?
6,Kommer du i morgen?
6,Kunne man ikke gøre det anderledes?
6,Men hvordan gør vi bedst det?
6,Skulle det nu også være kunst?
6,Spiller de stadig?
6,"Synes du ikke også at tiden flyver af sted, når man har det sjovt?"
6,Tror du ikke på mig?
6,Var det sådan du havde det?
6,Vil du ikke nok lade være?
6,Hvorfor tænker jeg på dig?
6,Vil du med ind og se ham?
6,Må den stakkels landmand ikke få en traktor?
6,Hvad bliver der sagt?
6,Vil du ikke begynde at lave det igen?
6,Vil du ikke lave det igen?
6,Kan du huske den?
7,De spiller stadig.
7,Den er blevet flyttet.
7,"Der er noget personligt, som du ikke har haft tid til."
7,Der er overhovedet ikke nogen der gider.
7,Det er dig skat.
7,Det er dit mål.
7,Det er ikke kunst.
7,Det er ikke sjovt.
7,Det er mere praktisk at flyve.
7,Det er sjovt.
7,Det koster det.
7,Det skal vi gøre noget ved.
7,Det var sådan du havde det.
7,Det virker ikke.
7,Du er også i gang.
7,Du gør mig lige en tjeneste.
7,Du har brug for hjælp.
7,Du har det godt.
7,Du har ikke brug for hjælp.
7,Du har ikke kun koncentreret dig om udviklingen.
7,Du har lyst til en gang frokost.
7,Du har tid til en kop kaffe.
7,Du har viljestyrke og charme tilovers.
7,Du kan gøre plads til mere leg og kreativitet.
7,Du kommer i morgen.
7,Du snupper en øl med mig.
7,"Du synes også at tiden flyver af sted, når man har det sjovt."
7,Du tror ikke på mig.
7,Du vil ikke lade være.
7,Han holder op.
7,Han holder snart op.
7,Han kunne tænke sig at hjælpe til.
7,Man kunne gøre det anderledes.
7,Min præmie er her.
7,Vi gør det bedst.
7,Man kunne ikke gøre det anderledes.
7,Du kan gøre plads til mere leg og kreativitet.
7,Du kommer i morgen.
7,Man kunne gøre det anderledes.
7,Du vil med ind og se ham.
7,Den stakkels landmand må få en traktor.
7,Den stakkels landmand må ikke få en traktor.
7,Du vil ikke begynde at lave det igen.
7,Du vil begynde at lave det igen.
7,Du vil ikke lave det igen.
7,Du vil lave det igen.
7,Du vil ikke lave det.
7,Du kan huske den.
7,Du kan ikke huske den.
8,"Der er faktisk mange ældre, der heller ikke taler så kønt, og de lægger nok ikke altid mærke til det selv."
8,"Det er trist, når de helt små børn siger ord, de ikke selv forstår."
8,"Det er vokset hvert år, så jeg er da spændt på, hvor mange der kommer i år"
8,Dit humør og din livskvalitet bliver også påvirket
8,"Havde han ikke haft den tro på mig og mine evner, havde jeg aldrig troet, at det ville være en reel mulighed for mig"
8,"Hun er ikke i tvivl om, at det er opbakningen, som har fået hende på rette spor."
8,"Hun havde en god og tryg opvækst i barndommen, men som 12-13 årig havnede hun i det forkerte selskab."
8,"Jeg afprøvede en drøm om at blive tatovør, men det skulle ikke være mig lige nu."
8,Jeg har forsøgt at få den idé ud i verden
8,"Jeg synes nu alligevel, at vi skulle tage og prøve."
8,"Jeg synes personligt det er brænd ærgerligt, hvis vi ikke får en afstemning."
8,"Jeg synes, det er helt vidunderligt og glæder mig MEGET over alt det skønne og humørfyldte, der er dukket frem i byen gennem de senere år."
8,"Jeg tror, at vi tog fejl."
8,Man kunne have udfordret denne holdning.
8,"Nu er det også de helt små børn, der begynder at sige grimme ord, uden at de kender betydningen af ordene."
8,"Når alle udgifter og indtægter er gjort op, viser budgetopfølgningen, at året forventes at slutte med god balance i regnskabet."
8,Så er det jo lige meget med alle mine stavefejl.
8,Du burde gøre mere end at blande dig.
8,"Det var det, vi snakkede om."
8,Du burde gøre mere end bare at blande dig.
